adduser 3.118ubuntu5
adoptium-ca-certificates 1.0.3-1
advance-toolchain-at16.0-devel 16.0-5
advance-toolchain-at16.0-mcore-libs 16.0-5
advance-toolchain-at16.0-perf 16.0-5
advance-toolchain-at16.0-runtime 16.0-5
apparmor 3.0.4-2ubuntu2.4
apport 2.20.11-0ubuntu82.6
apport-symptoms 0.24
apt 2.4.13
apt-utils 2.4.13
autoconf 2.71-2
automake 1:1.16.5-1.3
autotools-dev 20220109.1
base-files 12ubuntu4.7
base-passwd 3.5.52build1
bash 5.1-6ubuntu1.1
bash-completion 1:2.11-5ubuntu1
bc 1.07.1-3build1
bcache-tools 1.0.8-4ubuntu3
bind9-dnsutils 1:9.18.28-0ubuntu0.22.04.1
bind9-host 1:9.18.28-0ubuntu0.22.04.1
bind9-libs 1:9.18.28-0ubuntu0.22.04.1
binutils 2.38-4ubuntu2.6
binutils-common 2.38-4ubuntu2.6
binutils-powerpc64le-linux-gnu 2.38-4ubuntu2.6
bison 2:3.8.2+dfsg-1build1
bolt 0.9.2-1
bsdextrautils 2.37.2-4ubuntu3.4
bsdutils 1:2.37.2-4ubuntu3.4
btrfs-progs 5.16.2-1
build-essential 12.9ubuntu3
busybox-initramfs 1:1.30.1-7ubuntu3.1
busybox-static 1:1.30.1-7ubuntu3.1
byobu 5.133-1
bzip2 1.0.8-5build1
ca-certificates 20240203~22.04.1
cargo 1.75.0+dfsg0ubuntu1~bpo0-0ubuntu0.22.04
ccache 4.5.1-1
clang 1:14.0-55~exp2
clang-14 1:14.0.0-1ubuntu1.1
cloud-guest-utils 0.32-22-g45fe84a5-0ubuntu1
cloud-init 24.3.1-0ubuntu0~22.04.1
cloud-initramfs-copymods 0.47ubuntu1
cloud-initramfs-dyn-netconf 0.47ubuntu1
cmake 3.22.1-1ubuntu1.22.04.2
cmake-data 3.22.1-1ubuntu1.22.04.2
comerr-dev 2.1-1.46.5-2ubuntu1.2
command-not-found 22.04.0
console-setup 1.205ubuntu3
console-setup-linux 1.205ubuntu3
containerd 1.7.12-0ubuntu2~22.04.1
coreutils 8.32-4.1ubuntu1.2
cpio 2.13+dfsg-7ubuntu0.1
cpp 4:11.2.0-1ubuntu1
cpp-11 11.4.0-1ubuntu1~22.04
cryptsetup 2:2.4.3-1ubuntu1.2
cryptsetup-bin 2:2.4.3-1ubuntu1.2
cryptsetup-initramfs 2:2.4.3-1ubuntu1.2
curl 7.81.0-1ubuntu1.18
dash 0.5.11+git20210903+057cd650a4ed-3build1
dbus 1.12.20-2ubuntu4.1
dbus-user-session 1.12.20-2ubuntu4.1
debconf 1.5.79ubuntu1
debconf-i18n 1.5.79ubuntu1
debianutils 5.5-1ubuntu2
dh-elpa-helper 2.0.9ubuntu1
diffutils 1:3.8-0ubuntu2
dirmngr 2.2.27-3ubuntu2.1
distro-info 1.1ubuntu0.2
distro-info-data 0.52ubuntu0.7
dmeventd 2:1.02.175-2.1ubuntu4
dmsetup 2:1.02.175-2.1ubuntu4
dnsutils 1:9.18.28-0ubuntu0.22.04.1
docker.io 24.0.7-0ubuntu2~22.04.1
dosfstools 4.2-1build3
dpkg 1.21.1ubuntu2.3
dpkg-dev 1.21.1ubuntu2.3
e2fsprogs 1.46.5-2ubuntu1.2
eatmydata 130-2build1
ed 1.18-1
eject 2.37.2-4ubuntu3.4
emacsen-common 3.0.4
ethtool 1:5.16-1ubuntu0.1
expect 5.45.4-2build1
fdisk 2.37.2-4ubuntu3.4
file 1:5.41-3ubuntu0.1
finalrd 9build1
findutils 4.8.0-1ubuntu3
flex 2.6.4-8build2
fontconfig-config 2.13.1-4.2ubuntu5
fonts-dejavu-core 2.37-2build1
fonts-ubuntu-console 0.83-6ubuntu1
friendly-recovery 0.2.42
ftp 20210827-4build1
fuse 2.9.9-5ubuntu3
fuse3 3.10.5-1build1
g++ 4:11.2.0-1ubuntu1
g++-11 11.4.0-1ubuntu1~22.04
gawk 1:5.1.0-1ubuntu0.1
gcc 4:11.2.0-1ubuntu1
gcc-11 11.4.0-1ubuntu1~22.04
gcc-11-base 11.4.0-1ubuntu1~22.04
gcc-12-base 12.3.0-1ubuntu1~22.04
gcovr 5.0-2
gdal-data 3.4.1+dfsg-1build4
gdisk 1.0.8-4build1
gettext-base 0.21-4ubuntu4
gir1.2-glib-2.0 1.72.0-1
gir1.2-packagekitglib-1.0 1.2.5-2ubuntu2
git 1:2.34.1-1ubuntu1.11
git-lfs 3.0.2-1ubuntu0.2
git-man 1:2.34.1-1ubuntu1.11
gnupg 2.2.27-3ubuntu2.1
gnupg-l10n 2.2.27-3ubuntu2.1
gnupg-utils 2.2.27-3ubuntu2.1
gnupg2 2.2.27-3ubuntu2.1
gpg 2.2.27-3ubuntu2.1
gpg-agent 2.2.27-3ubuntu2.1
gpg-wks-client 2.2.27-3ubuntu2.1
gpg-wks-server 2.2.27-3ubuntu2.1
gpgconf 2.2.27-3ubuntu2.1
gpgsm 2.2.27-3ubuntu2.1
gpgv 2.2.27-3ubuntu2.1
grep 3.7-1build1
groff-base 1.22.4-8build1
gzip 1.10-4ubuntu4.1
hashdeep 4.4-7.1
hdparm 9.60+ds-1build3
hostname 3.23ubuntu2
htop 3.0.5-7build2
hwdata 0.357-1
icu-devtools 70.1-2
info 6.8-4build1
init 1.62
init-system-helpers 1.62
initramfs-tools 0.140ubuntu13.4
initramfs-tools-bin 0.140ubuntu13.4
initramfs-tools-core 0.140ubuntu13.4
install-info 6.8-4build1
iproute2 5.15.0-1ubuntu2
iprutils 2.4.19-1build1
iptables 1.8.7-1ubuntu5.2
iputils-ping 3:20211215-1
iputils-tracepath 3:20211215-1
irqbalance 1.8.0-1ubuntu0.2
isc-dhcp-client 4.4.1-2.3ubuntu2.4
isc-dhcp-common 4.4.1-2.3ubuntu2.4
iso-codes 4.9.0-1
java-common 0.72build2
kbd 2.3.0-3ubuntu4.22.04
keyboard-configuration 1.205ubuntu3
klibc-utils 2.0.10-4ubuntu0.1
kmod 29-1ubuntu1
kpartx 0.8.8-1ubuntu1.22.04.4
krb5-multidev 1.19.2-2ubuntu0.4
